A,B,C,D
1,35,34.04,23.24
2,29,41.14,11.06
3,23,48.26,-0.82
4,15,55.17,-16.75
5,24,62.26,1.34
6,4,69.32,-38.78
7,36,76.17,25.03
8,39,82.99,31.25
9,2,90.16,-42.96
10,37,97.05,27.21
11,33,104.32,19.19
12,11,111.13,-24.65
13,11,118.36,-24.84
14,32,125.04,17.27
15,19,132.2,-8.92
16,7,139.25,-32.98
17,31,146.13,15.21
18,37,153.05,27.22
19,16,160.07,-14.68
20,23,167.36,-0.69
21,6,174.22,-34.83
22,27,181.33,7.32
23,17,188.05,-12.69
24,35,195.29,23.29
25,16,202.08,-14.89
26,26,209.15,5.3
27,22,215.98,-2.94
28,5,223.35,-36.95
29,21,230.12,-4.94
30,8,237.27,-30.95
31,33,244.33,19.29
32,13,251.12,-20.76
33,7,258.29,-32.77
34,32,265.16,17.14
35,23,272.33,-0.84
36,29,279.11,11.33
37,13,286.34,-20.66
38,13,293.31,-20.77
39,20,300.05,-6.71
40,29,307.13,11.18
41,36,314.06,25.05
42,27,321.19,7.2
43,5,328.27,-36.89
44,31,335.11,15.22
45,39,342.35,31.17
46,18,349.16,-10.78
47,13,356.21,-20.9
48,1,363.35,-44.96
49,19,370.15,-8.89
50,10,377.36,-26.74
51,23,385,-0.68
52,28,391.28,9.11
53,10,398.1,-26.83
54,31,405.16,15.08
55,36,412,25.07
56,33,419.11,19.17
57,3,426.27,-40.77
58,27,433,7.24
59,16,440.06,-14.65
60,33,447.11,18.98
61,32,453.99,17.21
62,18,461.19,-10.97
63,32,468.21,17.08
64,11,475.04,-24.82
65,13,482.01,-20.88
66,14,489.26,-18.83
67,34,496.3,21.06
68,19,503.09,-8.92
69,37,510.25,27.08
70,27,517.1,7.21
71,27,524.34,7.14
72,2,531.13,-42.64
73,39,538.37,31.11
74,9,545,-28.82
75,29,552.13,11.21
76,3,559.19,-40.91
77,22,566.05,-2.67
78,23,573.16,-0.64
79,25,580.06,3.23
80,36,587.33,25.28
81,11,594.12,-24.76
82,20,601.14,-6.69
83,10,608.13,-26.7
84,23,615.15,-0.68
85,35,622.36,22.99
86,18,629.32,-10.79
87,22,636.06,-2.8
88,9,643.29,-29.01
89,8,650.15,-30.93
90,25,657.03,3.34
91,15,664.06,-16.92
92,2,671.18,-42.84
93,27,678.28,7.23
94,20,685.04,-7
95,6,691.99,-34.69
96,0,699.1,-46.75
97,23,706.32,-0.67
98,37,713.01,27.25
99,38,720.09,29.34
100,39,727.35,31.31
