A,B,C,D
1,21,34.24,-4.94
2,9,41.12,-28.88
3,1,48.16,-44.93
4,23,55.29,-0.67
5,25,62.18,3.21
6,7,69,-32.99
7,39,76.01,31.09
8,22,83.14,-2.77
9,3,90.3,-40.73
10,39,97.27,31.21
11,34,104,20.99
12,2,111.09,-42.87
13,9,118.03,-28.77
14,18,125.26,-10.93
15,13,132.04,-20.73
16,29,139.11,11.29
17,32,146.1,17.25
18,35,153.25,23.01
19,21,160.28,-4.66
20,2,167.19,-42.85
21,17,174.13,-12.82
22,11,181.08,-24.79
23,18,188.17,-10.74
24,4,195.27,-38.93
25,5,202.33,-36.87
26,34,209.22,21.18
27,18,216.14,-10.69
28,37,223.1,27.1
29,0,230.23,-47
30,28,237.17,9.21
31,6,244.27,-34.72
32,26,250.98,4.98
33,9,258.16,-28.91
34,30,265.12,12.99
35,39,272.17,31.26
36,14,279.04,-18.9
37,34,286.14,21.26
38,19,293.11,-8.7
39,23,300.03,-0.93
40,25,307.32,3.27
41,0,314.3,-46.84
42,23,321.16,-0.92
43,15,328.17,-16.74
44,27,335.07,7.33
45,20,342.06,-6.96
46,8,349.12,-30.9
47,20,355.99,-6.82
48,0,363.1,-46.69
49,25,370.34,3.29
50,34,377.11,21.23
51,15,384.04,-16.85
52,25,391.27,3.25
53,35,398.02,23.04
54,16,405.29,-14.94
55,11,412.01,-24.94
56,17,419.09,-12.87
57,22,426.21,-2.94
58,2,433.14,-42.82
59,28,440.31,9.06
60,19,447.25,-8.8
61,36,454.33,25.18
62,13,461.18,-20.93
63,32,468.06,17.11
64,30,475.22,13.35
65,38,482.25,28.98
66,39,489.34,31.02
67,14,496.08,-18.83
68,22,503.11,-2.67
69,34,510.31,21.26
70,3,517.1,-40.94
71,17,524.06,-12.99
72,37,531.11,27.13
73,38,538.03,29.21
74,11,545.25,-24.63
75,0,552.24,-46.76
76,1,559.15,-44.87
77,37,566.29,27.23
78,16,573.03,-14.64
79,12,580.37,-22.79
80,32,587.32,17.33
81,32,594.01,17.33
82,27,600.98,6.98
83,3,608.28,-40.65
84,26,615,5.23
85,26,622,5.01
86,4,629.33,-38.82
87,19,636.3,-8.99
88,5,642.99,-36.94
89,35,650.03,23.37
90,19,657.35,-8.68
91,6,664.28,-34.65
92,2,671.15,-42.72
93,34,678.1,21.18
94,32,685.37,17.12
95,17,692.15,-12.93
96,20,699.11,-6.66
97,0,706.23,-46.81
98,3,713.28,-40.8
99,3,720.15,-40.75
100,2,727.26,-42.86
