A,B,C,D,E,F
34,50.51,5,32.18,-61.4364,-43.0182
38,54.4,9,44.33,41.2283,8.01397
20,36.54,15,62.39,35.3386,6.86912
25,41.42,1,20.43,51.0732,49.3207
35,51.5,7,38.46,10.649,7.45649
37,53.44,16,65.19,-40.6737,-91.3545
2,18.36,5,32.41,-12.7159,-2.70285
22,38.16,36,125.14,-4.79181,-3.61089
33,49.08,9,44.43,-42.7644,-4.49472
28,44.41,26,95.12,32.9901,8.22534
37,53.08,39,134.31,-6.10106,-13.7032
15,31.36,30,107.09,57.5534,25.6244
31,47.02,9,43.97,-39.8372,-23
24,40.44,6,35.31,-33.6691,-4.73188
15,31.51,20,77.3,-5.66543,-9.42884
13,29.04,37,128.01,72.4559,8.89646
35,50.97,1,20.35,-16.4315,-30.9032
39,55.13,14,58.97,43.8502,19.5233
15,31.3,28,101.38,-87.9332,-30.2778
37,53.11,20,77.54,22.1171,15.4866
11,27.09,29,103.97,-82.9658,-13.1405
2,18.41,14,59.32,-36.8712,-9.19302
24,40.5,8,41.16,69.085,26.5192
20,36.06,9,43.97,-52.4688,-22.2717
7,23.37,22,83.04,-2.71892,-1.26785
9,24.97,2,23.07,-55.5727,-57.5471
24,40.51,15,62.08,12.7128,26.065
30,46.43,2,23.27,1.62785,4.72759
19,35.14,38,131.37,8.65136,2.48073
29,45.13,1,20.48,-19.9756,-39.2043
33,49.22,38,131.45,-43.8326,-3.83485
39,55.09,24,89.11,-28.3437,-23.7831
35,51.03,11,50.34,6.70937,4.35711
6,22.44,17,68.41,44.5048,17.9811
5,21.26,3,26.03,0,0
16,32.23,37,128.11,10.7246,8.99902
16,32.5,29,103.97,78.0131,60.9504
25,41.43,11,50.06,-21.7481,-29.9336
17,33.26,39,134.12,-19.4222,-18.7558
2,18.07,28,101.54,88.3685,37.5102
9,25.49,14,59.35,26.8701,26.87
3,19.31,25,92.49,2.90886,5.24772
37,53.01,2,23.37,45.0874,81.3396
32,48.47,7,38.08,50.328,26.7599
10,26.48,23,86.35,32.7441,24.6744
38,54.47,24,89.22,30.0979,82.6929
5,21,21,80.48,34.103,7.87328
39,55.02,12,53.19,-80.5646,-50.3423
28,44.14,7,38.44,37.5578,70.6358
20,36.27,20,77.53,44.7355,66.323
8,24.16,31,110.29,-3.59518,-1.75348
19,35.18,34,118.98,-8.71424,-13.4187
1,17.41,7,38.5,-51.058,-17.5807
10,26.23,34,119.46,-42.743,-34.6126
38,54.23,37,128.56,0.618036,1.90211
20,36.07,28,101.01,-30.1787,-34.7166
15,31.23,18,71.47,3.60527,6.00017
