A,B,C,D,E,F
5,48.56,22,72.56,62.1717,50.3456
1,16.15,26,84.5,-41.145,-56.6312
33,272.13,8,30.26,-45.3154,-21.1309
9,80.34,36,114.55,40.196,17.8964
34,280.53,4,18.27,-17.732,-19.0152
26,216.56,24,77.97,20.3378,23.396
4,40.09,35,111.19,1.85411,5.70634
23,192.48,13,45.49,-98.1627,-19.0809
12,104.19,13,45.37,0,0
0,8.31,6,24.01,-24.6638,-35.2235
29,240.12,32,102.1,-16.0591,-17.8355
9,80.37,7,27.33,2.59808,1.5
13,112.23,37,117.36,-20.098,-8.9482
35,288.19,23,75.37,-55.9528,-10.8761
29,240.32,2,12.04,65.46,63.2139
20,168.37,7,27.41,4.75528,1.54508
39,320.24,35,111.03,75.2236,35.0773
32,264.26,17,57.18,21.0132,64.6718
10,88.52,2,12.11,-11.7368,-22.0737
22,184.53,32,102.01,95.0657,13.3606
4,40.53,36,114.28,-69.345,-54.1782
6,56.48,0,6.5,34.5425,13.2596
4,40.38,37,117.1,71.0141,41
20,168.02,32,102.31,-13.5063,-47.1018
11,96.3,27,87.32,73.2314,23.7943
11,96.18,31,99.44,43.5718,6.12361
12,103.99,14,48.1,34.0387,11.7204
21,176.17,25,81.15,9.5076,8.86597
15,128.42,33,105.44,-20.6016,-34.2867
18,152,29,93.42,-0.48481,-0.874619
21,176.27,28,90.09,31.8948,83.0886
8,72.18,19,63.11,-13.1557,-4.78828
38,312.24,7,27.33,40.9941,87.9118
16,136.09,37,117.38,-52.3129,-72.0025
37,304.06,33,105.43,-23.638,-8.1392
32,264.45,34,108.49,0,0
17,144.37,16,54.33,-32.5,-56.2916
23,192.22,34,108.07,-52.5694,-26.7854
22,184.26,36,114.36,-36.5677,-34.0999
21,176.04,37,117.11,-63.3498,-21.813
18,152.03,32,102.21,-25.9808,-15
19,160.56,25,81.24,-29.4032,-14.9817
2,24.07,30,96.54,74.4296,54.0762
21,176.11,33,105.54,85.1631,11.9689
25,208.04,11,39.52,-2.27898,-6.61863
31,256.4,14,48.13,-36.5001,-63.2198
21,176.15,4,18.55,20.1517,31.0308
3,32.37,2,12.1,-89.0114,-18.9199
16,136.47,1,9.06,-19.4709,-7.86673
13,112.02,26,84.53,25.3587,88.4361
12,104,22,72.24,-5.78841,-20.1865
32,264.29,39,123.25,21.3252,8.61594
20,169.43,29,93.32,-20.9201,-1.83027
2,24.52,12,42.12,-24.3131,-25.1769
23,192.27,28,90.46,18.3848,18.3848
9,80.35,36,114.2,59.7192,76.437
25,208.18,0,6.01,66.574,21.6312
1,16.39,9,33.39,-22.2163,-5.95283
12,104.28,15,51.21,-58.3004,-43.9325
36,296.39,22,72.01,29.9437,8.02339
37,304.09,31,99.1,32.4534,106.15
12,104.3,2,12.09,54.5094,16.6652
7,64.08,34,108.05,-5.44002,-4.40524
8,72.55,7,27.33,20.8014,7.16249
0,8.27,36,114.2,-76.1812,-53.3426
3,32.53,4,18.51,36.5313,18.6136
15,128.5,5,21.54,-18.4691,-50.7434
21,176.42,26,84.24,-82.6685,-23.7048
31,256.11,1,9.28,-28.679,-24.9302
25,208.2,26,84.11,96.5112,17.0175
6,55.98,21,69.27,26.1427,40.2562
3,32.52,36,114.17,20.9939,24.1507
35,288.1,31,99.5,-51.9615,-30
37,304.21,12,42.47,27.2001,22.0262
26,216.49,9,33.42,-10.3284,-19.4248
30,248.41,1,9.41,-82.4751,-20.5633
38,312.47,24,78.31,51.9976,33.7676
20,168.27,21,69.49,14.854,2.08759
9,80.09,29,93.3,-37.3304,-67.3457
0,8.06,29,93.06,-12.6794,-44.218
17,144.34,24,78.07,-90.441,-40.2669
31,256.56,1,9.32,4.01479,4.45887
35,288.35,33,106.25,27.1791,55.7252
21,176.29,13,45,10.8178,35.3833
39,320.34,38,120.17,-38.7663,-13.3483
0,8.53,33,105.53,8.72659,15.7431
15,128.46,26,84.33,36.7393,42.2637
11,96.08,2,12.22,-37.5554,-48.0686
26,216.09,1,9.16,49.0007,45.6939
28,232.24,36,114.15,-40.5001,-70.148
14,120.48,3,15.25,-57.5248,-44.9433
34,280.31,22,72.29,13.2399,17.57
8,72.11,9,33.4,-73.4109,-34.2321
0,8.14,12,42.38,-25.0068,-58.9123
19,160.21,19,63.24,-25.1141,-6.72929
14,120.06,34,108.46,15.3677,24.5934
2,24,8,30.41,67.7412,5.92659
34,280.13,24,78,13.3388,36.648
3,32.56,32,102.45,-19.5234,-43.8502
20,168.49,37,117.08,-11.3312,-26.6946
13,112.23,1,9.36,24.4703,11.4107
13,112.27,5,20.98,15.733,43.2258
23,192.18,22,71.97,34.238,11.1246
27,224.29,5,21.37,-6.78439,-4.23935
33,272.21,1,9.47,-12.3637,-4.01722
22,183.97,31,99.32,-73.803,-47.9282
25,208.02,0,6.2,95.8585,20.3753
28,232.1,0,5.99,-43.8783,-16.8433
28,232.18,20,66.3,-69.4813,-52.3579
2,24.23,16,54.41,12.6082,9.85058
37,304.48,36,114.25,44.4326,11.9057
18,152.21,25,81.56,-36.5001,-63.2198
38,312.44,28,90.07,-46.3209,-34.9052
38,312.27,35,111.36,34.8668,3.05045
11,96.34,6,24.17,31.863,25.8021
35,288.07,37,117,9.87688,1.56434
23,192.26,28,90.37,-19.7012,-25.2163
15,128.15,14,48.21,30.8714,60.5884
38,312.03,38,120.5,-28.3877,-77.9945
33,272.18,23,75.28,19.8597,57.6766
17,144.45,7,27.32,29.6699,11.9874
39,320.12,6,24.36,3.87848,6.99695
26,216.4,36,114.09,9.67596,25.2067
1,16.54,3,15.08,89.3292,10.9682
37,304.12,33,104.97,12.6051,22.7401
16,136.21,15,51.52,43.2505,27.0259
13,112.47,14,48.28,-90.3217,-11.0901
38,312.24,38,120.23,38.1478,8.10855
31,256.29,35,111.23,-48.4974,-28
30,247.98,33,105.41,59.0583,42.9083
10,88.46,7,27.22,-16.8211,-15.686
4,40.07,28,90.28,78.594,19.5957
5,48.28,8,30,-6.4322,-21.0387
1,16.18,0,6.05,19.2086,55.7856
5,48.26,37,117.55,45.962,45.9619
30,248.13,32,102.34,90.2375,22.4987
36,296.47,31,99.53,-6.80901,-17.738
38,312.35,16,54.03,92.273,17.936
26,216.12,27,87.24,-56.3143,-52.5138
15,128.45,7,27.3,-0.766045,-0.642787
15,128.46,21,69.56,-46.792,-40.6756
20,168.03,36,114.28,-57.0152,-78.4746
8,72.18,20,66.41,-57.6766,-19.8596
22,184.43,9,33.18,-41.1071,-22.786
19,159.97,4,18.55,31.8416,78.8106
23,192.18,24,78.13,45.9133,24.4125
3,32.42,9,33.28,26.4745,9.1159
13,112.53,5,21.3,-31.9241,-60.0404
7,64.51,23,75.25,73.0778,16.8713
24,200.03,8,30.37,-52.0035,-17.9062
4,39.97,27,87.37,-68.8101,-46.413
3,32.09,24,78.02,-22.0737,-11.7368
9,80.37,9,33.44,12.9031,1.5843
4,40.29,8,30.04,71.4975,57.8974
15,128.25,10,36.12,54.7939,70.1329
9,80.22,28,90.33,15.3916,19.7003
8,72.18,9,33.01,-8.81049,-10.88
17,144.04,37,117.36,-13.9467,-1.22018
13,112.47,15,50.98,8.22191,3.66063
37,304.53,8,30.37,-24.2562,-84.591
7,64.5,14,48.24,-32.4332,-48.0842
24,200.47,12,42.42,8.03008,11.4681
22,184.41,18,60.56,33.4173,27.0608
1,16.05,27,87.25,38.3886,47.4059
8,72.08,5,21.25,22.357,45.8385
37,304.47,22,72.2,-85.0967,-29.3011
14,120.11,34,108.04,31.8247,3.34491
37,304.43,25,81.44,-23.2441,-49.8469
32,264.35,20,66.56,-12.9288,-1.35887
27,224.44,4,18.09,25.3717,9.23454
1,16.13,18,60.13,-36.7108,-48.7167
0,8.02,14,48.44,1.81597,3.56402
0,8.51,4,18.22,0.406737,0.913545
17,144.02,0,6.06,-69.6392,-46.9722
2,24.01,38,120.04,67.4119,56.5653
34,280.19,33,105.29,54.8401,18.8829
32,264.07,29,93.56,-84.9558,-32.6115
9,80.26,20,66.51,31.9543,33.0896
15,128,39,123.24,45.0333,26
6,56.12,11,39.21,-25.1141,-6.72929
1,16.05,14,48.03,87.9332,30.2778
10,88.42,34,108.09,-3.95075,-0.625737
38,312.03,13,45.15,-48.0833,-48.0832
11,96.44,35,111.27,-43.4667,-11.6468
18,152.1,7,27.26,-8.98794,-4.38371
21,176,21,69.52,-19.6818,-22.6413
31,256.17,32,102.43,-63.739,-41.3925
22,184.39,26,84.44,31.2944,41.529
19,160.33,18,60.44,44.1627,49.0475
27,224.53,6,24.03,-10.239,-9.54797
19,160.16,12,41.97,-50.6842,-15.4957
15,128.15,34,108.44,69.4295,30.912
7,64.55,33,105.11,-61.8862,-53.7968
4,40.54,22,71.99,52.4257,36.7089
7,64,37,117.03,-17.4431,-47.9243
14,120.05,14,48.23,-47.5083,-52.7632
28,232.41,12,42.12,16.8211,15.686
34,280.47,19,63.44,-39.4024,-50.4327
5,48.38,34,108.04,-31.2596,-32.3703
0,8,14,48.46,-27.1132,-15.0291
